escenario,psi0_star_sim_deg,T1_star_sim,delta_z_star_sim_m
R0fixed,53.3934,0.976662,1.272987
z0fixed,38.9632,0.956375,1.127600

escenario,gamma,psi0_star_sim_deg
R0fixed,0.00,60.5685
R0fixed,0.10,58.7470
R0fixed,0.20,56.3366
R0fixed,0.30,53.3934
R0fixed,0.40,50.1999
R0fixed,0.50,47.4271
R0fixed,0.60,45.1551
R0fixed,0.70,43.4768
R0fixed,0.80,42.1513
R0fixed,0.90,41.1043
R0fixed,1.00,40.3195
z0fixed,0.00,63.3221
z0fixed,0.10,58.5492
z0fixed,0.20,43.4159
z0fixed,0.30,38.9632
z0fixed,0.40,37.3187
z0fixed,0.50,36.4563
z0fixed,0.60,35.8504
z0fixed,0.70,35.5040
z0fixed,0.80,35.2556
z0fixed,0.90,35.0102
z0fixed,1.00,34.8342
