Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
0.000000,165.527,0.000,131.446,57.006,44.911,131.446,1.340541e-07,-38.727,0.313434,1.228973,4.686611
0.375000,165.245,7.495,131.296,62.006,39.675,131.296,1.502938e-07,-38.231,0.303031,1.227349,4.647278
0.750000,164.625,14.969,131.146,65.868,37.294,131.146,1.470783e-07,-38.325,0.292922,1.224720,4.649153
1.125000,163.666,22.408,130.997,71.191,34.372,130.997,1.564754e-07,-38.056,0.280480,1.221334,4.624308
1.500000,162.371,29.795,130.847,77.522,32.378,130.847,2.006382e-07,-36.976,0.266461,1.217851,4.541679
1.875000,160.741,37.116,130.697,81.490,31.688,130.697,2.179505e-07,-36.616,0.258099,1.216218,4.512189
2.250000,158.780,44.356,130.548,82.986,33.125,130.548,2.639214e-07,-35.785,0.253795,1.215459,4.451735
2.625000,156.493,51.499,130.398,82.412,34.432,130.398,2.823371e-07,-35.492,0.253495,1.215139,4.431041
3.000000,153.882,58.530,130.249,79.967,34.659,130.249,2.618230e-07,-35.820,0.257456,1.215288,4.456009
3.375000,150.954,65.435,130.099,75.705,37.198,130.099,2.525086e-07,-35.977,0.263192,1.215950,4.469963
3.750000,147.714,72.199,129.949,68.264,41.871,129.949,2.346178e-07,-36.296,0.273149,1.218000,4.497362
4.125000,144.170,78.809,129.800,63.463,44.187,129.800,2.225703e-07,-36.525,0.280077,1.219777,4.516840
4.500000,140.327,85.250,129.650,57.141,49.351,129.650,2.219584e-07,-36.537,0.285426,1.221094,4.520283
4.875000,136.194,91.509,129.500,54.462,51.552,129.500,2.315223e-07,-36.354,0.286629,1.221221,4.508019
5.250000,131.780,97.572,129.351,52.796,53.114,129.351,2.333555e-07,-36.320,0.286496,1.220938,4.505531
5.625000,127.093,103.427,129.201,54.298,54.369,129.201,2.447229e-07,-36.113,0.280403,1.218692,4.488031
6.000000,122.143,109.062,129.051,59.257,60.040,129.051,2.779252e-07,-35.561,0.261741,1.213495,4.439824
6.375000,116.940,114.464,128.902,62.545,64.018,128.902,3.065500e-07,-35.135,0.250994,1.211836,4.404381
6.750000,111.495,119.622,128.752,57.757,60.971,128.752,2.744595e-07,-35.615,0.262001,1.212945,4.443709
7.125000,105.819,124.525,128.602,51.199,57.750,128.602,2.494494e-07,-36.030,0.278187,1.216873,4.480987
7.500000,99.925,129.163,128.453,45.566,58.405,128.453,2.320981e-07,-36.343,0.286529,1.219444,4.507029
7.875000,93.824,133.525,128.303,43.198,59.778,128.303,2.255449e-07,-36.468,0.287228,1.219397,4.516048
8.250000,87.528,137.602,128.154,39.193,62.931,128.154,2.192303e-07,-36.591,0.285855,1.218593,4.523971
8.625000,81.052,141.385,128.004,36.591,66.604,128.004,2.275705e-07,-36.429,0.280407,1.216380,4.509876
9.000000,74.409,144.866,127.854,32.100,73.157,127.854,2.412002e-07,-36.176,0.270250,1.212952,4.487018
9.375000,67.613,148.038,127.705,30.565,79.004,127.705,2.645835e-07,-35.774,0.259063,1.210197,4.453085
9.750000,60.677,150.894,127.555,28.824,82.084,127.555,2.731832e-07,-35.635,0.254100,1.209218,4.440735
10.125000,53.618,153.426,127.405,28.999,83.911,127.405,2.828970e-07,-35.484,0.250370,1.208605,4.428120
10.500000,46.449,155.631,127.256,27.350,83.132,127.256,2.611104e-07,-35.832,0.252634,1.208439,4.453638
10.875000,39.186,157.502,127.106,24.572,80.577,127.106,2.113063e-07,-36.751,0.259193,1.208947,4.521370
11.250000,31.844,159.035,126.956,20.247,75.391,126.956,1.797836e-07,-37.452,0.273424,1.211963,4.577773
11.625000,24.439,160.228,126.807,10.772,72.873,126.807,1.604403e-07,-37.947,0.284962,1.215518,4.618145
12.000000,16.987,161.076,126.657,-14.197,68.041,126.657,1.496479e-07,-38.249,0.301158,1.220114,4.647009
12.375000,9.504,161.579,126.508,-47.691,51.015,126.508,1.370646e-07,-38.631,0.322289,1.219259,4.682455
12.750000,2.005,161.735,126.358,-47.263,51.875,126.358,1.459893e-07,-38.357,0.316914,1.218396,4.660994
13.125000,-5.492,161.543,126.208,-46.500,52.937,126.208,1.474665e-07,-38.313,0.311852,1.217619,4.655753
13.500000,-12.973,161.003,126.059,-38.372,61.650,126.059,1.579494e-07,-38.015,0.295094,1.214636,4.627360
13.875000,-20.421,160.117,125.909,-35.046,66.491,125.909,1.688937e-07,-37.724,0.283799,1.211650,4.601587
14.250000,-27.819,158.886,125.759,-31.044,74.372,125.759,2.082736e-07,-36.814,0.266939,1.207300,4.529424
14.625000,-35.152,157.312,125.610,-31.620,79.575,125.610,2.432231e-07,-36.140,0.254926,1.205011,4.476018
15.000000,-42.404,155.399,125.460,-32.823,81.551,125.460,2.925770e-07,-35.338,0.249865,1.204311,4.417165
15.375000,-49.559,153.150,125.310,-32.521,81.861,125.310,2.992700e-07,-35.239,0.249042,1.203958,4.409821
15.750000,-56.602,150.570,125.161,-34.122,79.328,125.161,2.989443e-07,-35.244,0.252120,1.203819,4.411737
16.125000,-63.517,147.666,125.011,-36.316,73.836,125.011,2.866924e-07,-35.426,0.260433,1.204632,4.428774
16.500000,-70.289,144.441,124.862,-39.757,67.152,124.862,2.440263e-07,-36.126,0.270302,1.206585,4.482817
16.875000,-76.902,140.905,124.712,-44.978,59.307,124.712,2.420451e-07,-36.161,0.280077,1.209125,4.490197
17.250000,-83.344,137.063,124.562,-49.428,53.848,124.562,2.465015e-07,-36.082,0.284195,1.210044,4.486652
17.625000,-89.599,132.924,124.413,-50.965,51.843,124.413,2.590996e-07,-35.865,0.284920,1.210049,4.471831
18.000000,-95.653,128.497,124.263,-51.345,51.362,124.263,2.565632e-07,-35.908,0.284430,1.209716,4.474562
18.375000,-101.494,123.792,124.113,-52.938,52.518,124.113,2.772634e-07,-35.571,0.278302,1.207381,4.447884
18.750000,-107.108,118.819,123.964,-58.246,57.219,123.964,3.124371e-07,-35.052,0.260348,1.202300,4.402336
19.125000,-112.482,113.587,123.814,-62.081,60.475,123.814,3.429164e-07,-34.648,0.249622,1.200643,4.368377
19.500000,-117.606,108.110,123.664,-58.215,54.570,123.664,3.011895e-07,-35.212,0.264016,1.202426,4.415319
19.875000,-122.466,102.398,123.515,-54.515,48.761,123.515,2.623701e-07,-35.811,0.280968,1.207119,4.465882
20.250000,-127.053,96.464,123.365,-54.825,46.082,123.365,2.583913e-07,-35.877,0.285187,1.208320,4.472599
20.625000,-131.356,90.321,123.215,-56.764,43.381,123.215,2.446084e-07,-36.115,0.285457,1.208098,4.489363
21.000000,-135.366,83.983,123.066,-60.107,40.100,123.066,2.399037e-07,-36.200,0.282751,1.206789,4.493885
21.375000,-139.073,77.463,122.916,-64.737,35.233,122.916,2.366884e-07,-36.258,0.278345,1.204918,4.495738
21.750000,-142.468,70.775,122.767,-71.987,31.061,122.767,2.469730e-07,-36.074,0.266040,1.200890,4.476480
22.125000,-145.545,63.935,122.617,-77.383,30.253,122.617,2.878126e-07,-35.409,0.255226,1.198456,4.424287
22.500000,-148.295,56.957,122.467,-81.395,28.916,122.467,3.120833e-07,-35.057,0.248364,1.197520,4.396022
22.875000,-150.713,49.858,122.318,-82.713,27.377,122.318,3.040978e-07,-35.170,0.246725,1.197136,4.402998
23.250000,-152.793,42.652,122.168,-81.285,26.416,122.168,2.732564e-07,-35.634,0.249756,1.196897,4.437073
23.625000,-154.531,35.356,122.018,-77.102,22.931,122.018,2.245999e-07,-36.486,0.260200,1.197898,4.502131
24.000000,-155.921,27.986,121.869,-72.245,14.472,121.869,1.825088e-07,-37.387,0.276679,1.202042,4.573670
24.375000,-156.961,20.558,121.719,-68.505,-0.946,121.719,1.678651e-07,-37.750,0.292583,1.207409,4.606959
24.750000,-157.648,13.089,121.569,-46.162,-49.981,121.569,1.601732e-07,-37.954,0.326127,1.207609,4.635381
25.125000,-157.980,5.597,121.420,-45.289,-50.596,121.420,1.503234e-07,-38.230,0.323831,1.207350,4.653727
25.500000,-157.956,-1.904,121.270,-4.295,76.096,121.270,6.907084e-08,-41.607,0.372263,1.198332,4.907322
25.875000,-157.577,-9.394,121.121,-0.665,76.963,121.121,7.408445e-08,-41.303,0.387425,1.197419,4.891121
26.250000,-156.842,-16.858,120.971,-0.861,76.879,120.971,8.752392e-08,-40.579,0.396868,1.197069,4.843541
26.625000,-155.753,-24.279,120.821,5.916,78.317,120.821,8.970601e-08,-40.472,0.422728,1.195695,4.844129
27.000000,-154.313,-31.639,120.672,-73.757,-31.707,120.672,2.475777e-07,-36.063,0.259764,1.194497,4.471931
27.375000,-152.524,-38.923,120.522,-78.563,-31.467,120.522,2.903581e-07,-35.371,0.249619,1.193031,4.418125
27.750000,-150.390,-46.113,120.372,-80.137,-31.667,120.372,3.356777e-07,-34.741,0.246106,1.192586,4.372138
28.125000,-147.916,-53.193,120.223,-77.721,-33.621,120.223,3.346136e-07,-34.755,0.248692,1.192299,4.374434
28.500000,-145.107,-60.147,120.073,-72.491,-34.848,120.073,3.036084e-07,-35.177,0.257297,1.192892,4.408491
28.875000,-141.969,-66.960,119.923,-65.460,-38.602,119.923,2.771028e-07,-35.574,0.267703,1.194814,4.441637
