escenario,psi0_deg,rho0_m,z0_m,T1_sim,delta_z_sim_m,J_sim_gammaRef
R0fixed,5.0000,16.4445,187.9616,NaN,NaN,NaN
R0fixed,6.0000,19.7224,187.6460,NaN,NaN,NaN
R0fixed,7.0000,22.9943,187.2732,NaN,NaN,NaN
R0fixed,8.0000,26.2591,186.8434,0.909901,1.411215,0.041006
R0fixed,9.0000,29.5160,186.3567,0.910349,1.401137,0.040792
R0fixed,10.0000,32.7639,185.8132,0.910849,1.391375,0.040553
R0fixed,11.0000,36.0018,185.2130,0.911403,1.381900,0.040290
R0fixed,12.0000,39.2287,184.5565,0.912010,1.372724,0.040001
R0fixed,13.0000,42.4437,183.8438,0.912670,1.363841,0.039686
R0fixed,14.0000,45.6457,183.0750,0.913383,1.355265,0.039347
R0fixed,15.0000,48.8339,182.2505,0.914150,1.346983,0.038983
R0fixed,16.0000,52.0072,181.3705,0.914970,1.339001,0.038593
R0fixed,17.0000,55.1646,180.4352,0.915845,1.331317,0.038178
R0fixed,18.0000,58.3052,179.4450,0.916773,1.323931,0.037738
R0fixed,19.0000,61.4281,178.4001,0.917755,1.316848,0.037273
R0fixed,20.0000,64.5322,177.3008,0.918791,1.310068,0.036783
R0fixed,21.0000,67.6167,176.1476,0.919880,1.303592,0.036269
R0fixed,22.0000,70.6806,174.9407,0.921024,1.297418,0.035729
R0fixed,23.0000,73.7230,173.6805,0.922221,1.291553,0.035165
R0fixed,24.0000,76.7429,172.3674,0.923471,1.285994,0.034577
R0fixed,25.0000,79.7395,171.0018,0.924774,1.280746,0.033964
R0fixed,26.0000,82.7117,169.5841,0.926131,1.275809,0.033328
R0fixed,27.0000,85.6588,168.1148,0.927540,1.271187,0.032668
R0fixed,28.0000,88.5797,166.5942,0.929000,1.266881,0.031984
R0fixed,29.0000,91.4737,165.0229,0.930512,1.262894,0.031278
R0fixed,30.0000,94.3398,163.4013,0.932075,1.259229,0.030549
R0fixed,31.0000,97.1772,161.7300,0.933687,1.255888,0.029799
R0fixed,32.0000,99.9850,160.0094,0.935348,1.252873,0.029027
R0fixed,33.0000,102.7623,158.2400,0.937056,1.250189,0.028234
R0fixed,34.0000,105.5083,156.4225,0.938810,1.247837,0.027422
R0fixed,35.0000,108.2222,154.5573,0.940609,1.245822,0.026591
R0fixed,36.0000,110.9031,152.6450,0.942450,1.244146,0.025742
R0fixed,37.0000,113.5502,150.6862,0.944330,1.242812,0.024876
R0fixed,38.0000,116.1628,148.6816,0.946248,1.241824,0.023995
R0fixed,39.0000,118.7399,146.6316,0.948201,1.241186,0.023100
R0fixed,40.0000,121.2809,144.5370,0.950184,1.240901,0.022192
R0fixed,41.0000,123.7850,142.3983,0.952195,1.240974,0.021274
R0fixed,42.0000,126.2513,140.2163,0.954228,1.241406,0.020348
R0fixed,43.0000,128.6792,137.9915,0.956279,1.242203,0.019415
R0fixed,44.0000,131.0679,135.7248,0.958341,1.243367,0.018480
R0fixed,45.0000,133.4166,133.4166,0.960409,1.244904,0.017544
R0fixed,46.0000,135.7248,131.0679,0.962475,1.246816,0.016611
R0fixed,47.0000,137.9915,128.6792,0.964529,1.249108,0.015684
R0fixed,48.0000,140.2163,126.2513,0.966564,1.251784,0.014769
R0fixed,49.0000,142.3983,123.7850,0.968568,1.254846,0.013870
R0fixed,50.0000,144.5370,121.2809,0.970529,1.258300,0.012991
R0fixed,51.0000,146.6316,118.7399,0.972433,1.262149,0.012140
R0fixed,52.0000,148.6816,116.1628,0.974264,1.266397,0.011323
R0fixed,53.0000,150.6862,113.5502,0.976005,1.271047,0.010548
R0fixed,54.0000,152.6450,110.9031,0.977636,1.276103,0.009823
R0fixed,55.0000,154.5573,108.2222,0.979134,1.281569,0.009158
R0fixed,56.0000,156.4225,105.5083,0.980474,1.287447,0.008564
R0fixed,57.0000,158.2400,102.7623,0.981626,1.293741,0.008054
R0fixed,58.0000,160.0094,99.9850,0.982557,1.300455,0.007642
R0fixed,59.0000,161.7300,97.1772,0.983230,1.307590,0.007345
R0fixed,60.0000,163.4013,94.3398,0.983601,1.315149,0.007181
R0fixed,61.0000,165.0229,91.4737,0.983623,1.323134,0.007171
R0fixed,62.0000,166.5942,88.5797,0.983240,1.331548,0.007340
R0fixed,63.0000,168.1148,85.6588,0.982389,1.340393,0.007717
R0fixed,64.0000,169.5841,82.7117,0.980997,1.349669,0.008332
R0fixed,65.0000,171.0018,79.7395,0.978981,1.359376,0.009226
R0fixed,66.0000,172.3674,76.7429,0.976246,1.369517,0.010441
R0fixed,67.0000,173.6805,73.7230,0.972682,1.380091,0.012029
R0fixed,68.0000,174.9407,70.6806,0.968163,1.391097,0.014052
R0fixed,69.0000,176.1476,67.6167,0.962543,1.402536,0.016580
R0fixed,70.0000,177.3008,64.5322,0.955652,1.414403,0.019700
R0fixed,71.0000,178.4001,61.4281,0.947293,1.426700,0.023516
R0fixed,72.0000,179.4450,58.3052,0.937238,1.439421,0.028150
R0fixed,73.0000,180.4352,55.1646,0.925216,1.452566,0.033757
R0fixed,74.0000,181.3705,52.0072,0.910914,1.466126,0.040523
R0fixed,75.0000,182.2505,48.8339,0.893954,1.480103,0.048685
R0fixed,76.0000,183.0750,45.6457,0.873902,1.494485,0.058537
R0fixed,77.0000,183.8438,42.4437,0.850220,1.509273,0.070468
R0fixed,78.0000,184.5565,39.2287,0.822289,1.524455,0.084976
R0fixed,79.0000,185.2130,36.0018,0.789347,1.540022,0.102732
R0fixed,80.0000,185.8132,32.7639,0.750459,1.555973,0.124673
R0fixed,81.0000,186.3567,29.5160,0.704506,1.572292,0.152115
R0fixed,82.0000,186.8434,26.2591,0.650082,1.588972,0.187032
R0fixed,83.0000,187.2732,22.9943,NaN,NaN,NaN
R0fixed,84.0000,187.6460,19.7224,NaN,NaN,NaN
R0fixed,85.0000,187.9616,16.4445,NaN,NaN,NaN
z0fixed,5.0000,8.7489,100.0000,NaN,NaN,NaN
z0fixed,6.0000,10.5104,100.0000,NaN,NaN,NaN
z0fixed,7.0000,12.2785,100.0000,NaN,NaN,NaN
z0fixed,8.0000,14.0541,100.0000,NaN,NaN,NaN
z0fixed,9.0000,15.8384,100.0000,NaN,NaN,NaN
z0fixed,10.0000,17.6327,100.0000,NaN,NaN,NaN
z0fixed,11.0000,19.4380,100.0000,NaN,NaN,NaN
z0fixed,12.0000,21.2557,100.0000,NaN,NaN,NaN
z0fixed,13.0000,23.0868,100.0000,NaN,NaN,NaN
z0fixed,14.0000,24.9328,100.0000,0.941366,1.272742,0.026241
z0fixed,15.0000,26.7949,100.0000,0.941641,1.258837,0.026115
z0fixed,16.0000,28.6745,100.0000,0.941938,1.245552,0.025978
z0fixed,17.0000,30.5731,100.0000,0.942257,1.232921,0.025831
z0fixed,18.0000,32.4920,100.0000,0.942598,1.220947,0.025674
z0fixed,19.0000,34.4328,100.0000,0.942961,1.209625,0.025506
z0fixed,20.0000,36.3970,100.0000,0.943346,1.198963,0.025329
z0fixed,21.0000,38.3864,100.0000,0.943756,1.188974,0.025140
z0fixed,22.0000,40.4026,100.0000,0.944191,1.179658,0.024940
z0fixed,23.0000,42.4475,100.0000,0.944652,1.171028,0.024728
z0fixed,24.0000,44.5229,100.0000,0.945140,1.163078,0.024504
z0fixed,25.0000,46.6308,100.0000,0.945658,1.155821,0.024266
z0fixed,26.0000,48.7733,100.0000,0.946204,1.149255,0.024015
z0fixed,27.0000,50.9525,100.0000,0.946781,1.143389,0.023750
z0fixed,28.0000,53.1709,100.0000,0.947389,1.138218,0.023472
z0fixed,29.0000,55.4309,100.0000,0.948029,1.133748,0.023178
z0fixed,30.0000,57.7350,100.0000,0.948702,1.129981,0.022870
z0fixed,31.0000,60.0861,100.0000,0.949410,1.126917,0.022546
z0fixed,32.0000,62.4869,100.0000,0.950152,1.124557,0.022207
z0fixed,33.0000,64.9408,100.0000,0.950930,1.122901,0.021852
z0fixed,34.0000,67.4509,100.0000,0.951745,1.121949,0.021479
z0fixed,35.0000,70.0208,100.0000,0.952598,1.121700,0.021090
z0fixed,36.0000,72.6543,100.0000,0.953491,1.122153,0.020684
z0fixed,37.0000,75.3554,100.0000,0.954423,1.123308,0.020259
z0fixed,38.0000,78.1286,100.0000,0.955397,1.125160,0.019816
z0fixed,39.0000,80.9784,100.0000,0.956413,1.127708,0.019354
z0fixed,40.0000,83.9100,100.0000,0.957473,1.130949,0.018873
z0fixed,41.0000,86.9287,100.0000,0.958577,1.134880,0.018373
