Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,psi_Rx_aire_deg,ang2_suelo_deg,T1,T2,Pot_dBm_diag,delta_xy_m_diag,delta_z_m_diag
0.000000,175.919,0.000,113.255,-231.000,0.000,113.255,63.8822,26.6023,0.984182,0.991191,-40.320,Inf,1.420149
0.375000,175.674,7.496,113.106,-230.494,-9.835,113.106,63.8829,26.6024,0.984197,0.991165,-40.414,Inf,1.419873
0.750000,175.111,14.975,112.956,-229.586,-19.633,112.956,63.8854,26.6030,0.984201,0.991129,-40.231,Inf,1.419625
1.125000,174.229,22.422,112.807,-228.275,-29.378,112.807,63.8892,26.6038,0.984193,0.991084,-40.040,Inf,1.419396
1.500000,173.029,29.826,112.657,-226.560,-39.053,112.657,63.8940,26.6049,0.984174,0.991030,-39.791,Inf,1.419183
1.875000,171.515,37.171,112.508,-224.452,-48.644,112.508,63.9005,26.6065,0.984145,0.990968,-39.449,Inf,1.418998
2.250000,169.689,44.445,112.358,-221.945,-58.132,112.358,63.9078,26.6082,0.984107,0.990898,-39.147,Inf,1.418824
2.625000,167.553,51.635,112.209,-219.043,-67.502,112.209,63.9159,26.6102,0.984062,0.990823,-38.857,Inf,1.418663
3.000000,165.111,58.726,112.059,-215.754,-76.738,112.059,63.9250,26.6124,0.984011,0.990743,-38.781,Inf,1.418516
3.375000,162.369,65.707,111.910,-212.076,-85.822,111.910,63.9343,26.6146,0.983957,0.990660,-38.752,Inf,1.418374
3.750000,159.330,72.563,111.761,-208.019,-94.738,111.761,63.9441,26.6170,0.983901,0.990576,-38.945,Inf,1.418239
4.125000,156.000,79.283,111.611,-203.582,-103.466,111.611,63.9534,26.6193,0.983846,0.990492,-38.925,Inf,1.418096
4.500000,152.385,85.855,111.462,-198.776,-111.992,111.462,63.9627,26.6215,0.983793,0.990411,-38.910,Inf,1.417952
4.875000,148.492,92.265,111.312,-193.605,-120.296,111.312,63.9713,26.6236,0.983746,0.990333,-38.785,Inf,1.417796
5.250000,144.328,98.503,111.163,-188.076,-128.360,111.163,63.9788,26.6254,0.983706,0.990262,-38.766,Inf,1.417622
5.625000,139.900,104.556,111.013,-182.203,-136.172,111.013,63.9856,26.6270,0.983675,0.990197,-38.562,Inf,1.417436
6.000000,135.216,110.413,110.864,-175.988,-143.707,110.864,63.9904,26.6281,0.983654,0.990142,-38.408,Inf,1.417218
6.375000,130.285,116.064,110.714,-169.452,-150.956,110.714,63.9942,26.6290,0.983646,0.990096,-38.215,Inf,1.416981
6.750000,125.115,121.498,110.565,-162.602,-157.900,110.565,63.9962,26.6294,0.983651,0.990061,-37.944,Inf,1.416716
7.125000,119.717,126.704,110.415,-155.451,-164.524,110.415,63.9962,26.6293,0.983669,0.990037,-38.023,Inf,1.416418
7.500000,114.100,131.674,110.266,-148.020,-170.818,110.266,63.9950,26.6288,0.983701,0.990024,-38.237,Inf,1.416099
