escenario,psi0_star_sim_deg,psi0_star_theory_deg,diferencia_deg,psi0_nom_deg,RMS_T1,RMS_delta_z_cm
R0fixed,53.3934,57.5729,-4.1795,57.9946,0.024695,0.4588
z0fixed,38.9632,47.5607,-8.5976,57.9946,0.021469,1.0370

escenario,gamma,psi0_star_sim_deg,psi0_star_theory_deg,diferencia_deg
R0fixed,0.00,60.5685,63.4349,-2.8665
R0fixed,0.10,58.7470,62.0234,-3.2764
R0fixed,0.20,56.3366,60.1272,-3.7906
R0fixed,0.30,53.3934,57.5729,-4.1795
R0fixed,0.40,50.1999,54.3081,-4.1082
R0fixed,0.50,47.4271,50.6912,-3.2641
R0fixed,0.60,45.1551,47.3738,-2.2187
R0fixed,0.70,43.4768,44.7047,-1.2279
R0fixed,0.80,42.1513,42.6560,-0.5047
R0fixed,0.90,41.1043,41.0838,0.0205
R0fixed,1.00,40.3195,39.8573,0.4621
z0fixed,0.00,63.3221,63.4349,-0.1128
z0fixed,0.10,58.5492,60.4695,-1.9204
z0fixed,0.20,43.4159,55.1444,-11.7285
z0fixed,0.30,38.9632,47.5607,-8.5976
z0fixed,0.40,37.3187,41.9932,-4.6745
z0fixed,0.50,36.4563,38.8126,-2.3563
z0fixed,0.60,35.8504,36.8704,-1.0200
z0fixed,0.70,35.5040,35.5779,-0.0739
z0fixed,0.80,35.2556,34.6592,0.5963
z0fixed,0.90,35.0102,33.9739,1.0363
z0fixed,1.00,34.8342,33.4432,1.3910
