escenario,psi0_deg,T1_sim,T1_theory,delta_T1,delta_z_sim_cm,delta_z_theory_cm,delta_delta_z_cm
R0fixed,5.0000,NaN,0.889736,NaN,NaN,143.7849,NaN
R0fixed,6.0000,NaN,0.890109,NaN,NaN,142.6656,NaN
R0fixed,7.0000,NaN,0.890550,NaN,NaN,141.5805,NaN
R0fixed,8.0000,0.909901,0.891059,0.018842,141.1215,140.5296,0.5920
R0fixed,9.0000,0.910349,0.891637,0.018712,140.1137,139.5126,0.6011
R0fixed,10.0000,0.910849,0.892284,0.018565,139.1375,138.5295,0.6080
R0fixed,11.0000,0.911403,0.893000,0.018403,138.1900,137.5801,0.6099
R0fixed,12.0000,0.912010,0.893784,0.018225,137.2724,136.6644,0.6080
R0fixed,13.0000,0.912670,0.894638,0.018031,136.3841,135.7821,0.6021
R0fixed,14.0000,0.913383,0.895562,0.017821,135.5265,134.9331,0.5934
R0fixed,15.0000,0.914150,0.896556,0.017594,134.6983,134.1172,0.5811
R0fixed,16.0000,0.914970,0.897619,0.017351,133.9001,133.3343,0.5658
R0fixed,17.0000,0.915845,0.898753,0.017091,133.1317,132.5842,0.5475
R0fixed,18.0000,0.916773,0.899958,0.016815,132.3931,131.8669,0.5262
R0fixed,19.0000,0.917755,0.901234,0.016521,131.6848,131.1821,0.5028
R0fixed,20.0000,0.918791,0.902581,0.016210,131.0068,130.5297,0.4771
R0fixed,21.0000,0.919880,0.903999,0.015881,130.3592,129.9096,0.4495
R0fixed,22.0000,0.921024,0.905489,0.015535,129.7418,129.3217,0.4201
R0fixed,23.0000,0.922221,0.907051,0.015170,129.1553,128.7659,0.3894
R0fixed,24.0000,0.923471,0.908684,0.014787,128.5994,128.2421,0.3573
R0fixed,25.0000,0.924774,0.910390,0.014385,128.0746,127.7501,0.3244
R0fixed,26.0000,0.926131,0.912167,0.013964,127.5809,127.2901,0.2909
R0fixed,27.0000,0.927540,0.914016,0.013524,127.1187,126.8618,0.2569
