Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
1,147.500,0.000,120.000,38.195,56.305,120.000,1.454369e-07,-38.373,0.328462,1.213396,4.666274
2,136.211,58.515,118.804,70.059,35.539,118.804,2.979340e-07,-35.259,0.259651,1.199493,4.416132
3,102.790,107.860,117.608,54.676,57.018,117.608,3.692700e-07,-34.327,0.256714,1.196010,4.349014
4,52.700,140.163,116.412,27.731,80.149,116.412,3.379113e-07,-34.712,0.243109,1.191271,4.368381
5,-6.025,150.370,115.216,-59.738,29.063,115.216,1.671292e-07,-37.769,0.333896,1.200964,4.624806
6,-64.111,136.977,114.020,-37.950,63.119,114.020,3.220851e-07,-34.920,0.264166,1.189232,4.393563
7,-112.514,102.177,112.823,-52.766,49.215,112.823,3.729242e-07,-34.284,0.265683,1.186863,4.349495
8,-143.811,51.435,111.627,-79.144,27.669,111.627,3.892313e-07,-34.098,0.238349,1.179109,4.321485
9,-153.301,-7.426,110.431,-2.544,71.343,110.431,8.797578e-08,-40.556,0.375276,1.180119,4.832829
10,-139.644,-65.466,109.235,-61.783,-36.762,109.235,3.570096e-07,-34.473,0.260681,1.175968,4.359076
11,-104.992,-113.992,108.039,-50.370,-52.963,108.039,4.253718e-07,-33.712,0.255462,1.171434,4.302675
12,-54.579,-145.845,106.843,-28.109,-77.156,106.843,4.558944e-07,-33.411,0.234896,1.166312,4.270102
13,4.112,-156.417,105.647,44.982,-42.500,105.647,2.115232e-07,-36.746,0.306667,1.175441,4.539310
14,62.500,-144.261,104.451,33.632,-65.459,104.451,4.319106e-07,-33.646,0.248655,1.159989,4.293240
15,112.163,-111.233,103.255,55.557,-54.012,103.255,5.400047e-07,-32.676,0.238484,1.155707,4.219414
16,146.042,-62.142,102.059,72.476,-28.377,102.059,4.957384e-07,-33.047,0.236070,1.152232,4.243697
17,159.411,-4.010,100.862,38.093,44.818,100.862,2.354474e-07,-36.281,0.314912,1.162609,4.508761
18,150.482,54.971,99.666,72.177,30.325,99.666,5.547894e-07,-32.559,0.231788,1.145370,4.206321
19,120.595,106.601,98.470,49.174,49.735,98.470,5.445126e-07,-32.640,0.247331,1.141796,4.220055
20,73.954,143.801,97.274,28.728,62.818,97.274,4.831193e-07,-33.159,0.247292,1.138011,4.255969
21,16.996,161.560,96.078,-4.785,56.831,96.078,2.764351e-07,-35.584,0.281677,1.146437,4.443615
22,-42.535,157.558,94.882,-28.573,71.992,94.882,5.998746e-07,-32.219,0.226721,1.131060,4.178051
23,-96.653,132.426,93.686,-42.528,42.542,93.686,5.159464e-07,-32.874,0.265726,1.131645,4.244620
24,-138.195,89.589,92.490,-49.444,33.983,92.490,4.780323e-07,-33.205,0.263050,1.126895,4.265956
25,-161.749,34.759,91.294,-68.463,21.023,91.294,4.585583e-07,-33.386,0.232127,1.117342,4.261197
26,-164.319,-24.863,90.098,8.794,63.370,90.098,1.878228e-07,-37.263,0.413231,1.113765,4.607272
27,-145.661,-81.553,88.901,-47.759,-36.876,88.901,5.705423e-07,-32.437,0.255578,1.111473,4.206625
28,-108.254,-128.059,87.705,-40.909,-44.505,87.705,6.305248e-07,-32.003,0.252283,1.106308,4.173938
29,-56.926,-158.520,86.509,-26.148,-72.901,86.509,7.812776e-07,-31.072,0.214600,1.106964,4.087765
30,1.806,-169.170,85.313,33.155,-42.436,85.313,3.418288e-07,-34.662,0.283097,1.103591,4.374757
31,60.584,-158.760,84.117,28.526,-67.741,84.117,8.659688e-07,-30.625,0.217571,1.095384,4.056899
32,112.138,-128.666,82.921,46.515,-45.582,82.921,7.936743e-07,-31.004,0.231922,1.085470,4.090538
33,150.177,-82.658,81.725,54.471,-28.866,81.725,6.951522e-07,-31.579,0.237701,1.080371,4.133425
34,170.135,-26.392,80.529,58.185,-14.715,80.529,4.965465e-07,-33.040,0.239797,1.075507,4.236265
