Tiempo_s,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
0.000000,147.500,0.000,120.000,-35.298,7.698,120.000,1.894812e-07,-37.224,4.633956,1.306325,6.722434
0.375000,147.403,7.499,119.850,-35.823,4.664,119.850,1.951649e-07,-37.096,5.509061,1.305912,6.709598
0.750000,146.925,14.984,119.701,-31.129,2.840,119.701,1.979306e-07,-37.035,5.891568,1.328135,6.703487
1.125000,146.068,22.434,119.551,-25.342,1.533,119.551,2.205950e-07,-36.564,6.487291,1.357594,6.656404
1.500000,144.833,29.832,119.402,-10.470,3.749,119.402,2.548415e-07,-35.937,5.714264,1.437139,6.593730
1.875000,143.226,37.157,119.252,14.015,10.427,119.252,3.293806e-07,-34.823,1.006292,1.400610,6.482302
2.250000,141.249,44.392,119.103,21.388,11.470,119.103,3.685324e-07,-34.335,0.720063,1.362570,6.433524
2.625000,138.909,51.517,118.953,14.944,9.633,118.953,3.504950e-07,-34.553,0.974051,1.398344,6.455318
3.000000,136.211,58.515,118.804,0.251,3.843,118.804,3.457435e-07,-34.612,5.182379,1.477990,6.461246
3.375000,133.162,65.367,118.654,-8.656,-0.033,118.654,3.219228e-07,-34.922,8.769131,1.450615,6.492248
3.750000,129.771,72.057,118.505,-10.532,-1.309,118.505,3.364083e-07,-34.731,8.427182,1.439148,6.473133
4.125000,126.047,78.566,118.355,-8.643,-0.199,118.355,3.465636e-07,-34.602,7.441783,1.450431,6.460217
4.500000,121.999,84.880,118.206,-8.659,-1.400,118.206,3.702900e-07,-34.315,8.717578,1.449577,6.431458
4.875000,117.637,90.981,118.056,-7.430,-2.188,118.056,3.790202e-07,-34.213,11.823465,1.455413,6.421338
5.250000,112.974,96.854,117.907,-4.945,-1.233,117.907,3.891530e-07,-34.099,14.402975,1.470584,6.409880
5.625000,108.020,102.486,117.757,4.578,6.852,117.757,4.329938e-07,-33.635,2.063191,1.452299,6.363518
6.000000,102.790,107.860,117.608,3.109,4.685,117.608,4.270676e-07,-33.695,3.009092,1.467411,6.369503
6.375000,97.295,112.965,117.458,-6.053,-5.329,117.458,3.868268e-07,-34.125,30.343592,1.453093,6.412483
6.750000,91.551,117.787,117.309,-7.942,-9.109,117.309,3.681747e-07,-34.339,49.592594,1.429175,6.433946
7.125000,85.572,122.314,117.159,-9.120,-12.044,117.159,3.574176e-07,-34.468,59.400012,1.411033,6.446824
7.500000,79.373,126.535,117.010,-9.385,-13.439,117.010,3.372403e-07,-34.721,41.777693,1.403200,6.472061
7.875000,72.969,130.440,116.860,-10.420,-14.845,116.860,3.312170e-07,-34.799,18.312504,1.392660,6.479887
8.250000,66.378,134.018,116.711,-8.081,-11.459,116.711,3.323894e-07,-34.784,15.562112,1.416847,6.478353
8.625000,59.616,137.262,116.561,-2.197,3.444,116.561,3.670779e-07,-34.352,4.628745,1.475812,6.435242
9.000000,52.700,140.163,116.412,3.218,16.448,116.412,3.739184e-07,-34.272,1.007970,1.400026,6.427223
