Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_opt_X,Rx_opt_Y,Rx_opt_Z,Potencia_maxima_W,Potencia_maxima_dBm
1,147.500,0.000,120.000,-58.924,-8.326,120.000,1.838380e-07,-37.356
2,136.211,58.515,118.804,-45.631,-26.941,118.804,3.221802e-07,-34.919
3,102.790,107.860,117.608,-34.876,-34.891,117.608,3.979956e-07,-34.001
4,52.700,140.163,116.412,-20.493,-56.308,116.412,3.357969e-07,-34.739
5,-6.025,150.370,115.216,-4.641,-61.651,115.216,2.134841e-07,-36.706
6,-64.111,136.977,114.020,14.628,-64.166,114.020,3.384806e-07,-34.705
7,-112.514,102.177,112.823,44.856,-33.713,112.823,4.102961e-07,-33.869
8,-143.811,51.435,111.627,47.826,-16.670,111.627,3.857688e-07,-34.137
9,-153.301,-7.426,110.431,55.993,11.760,110.431,1.032504e-07,-39.861
10,-139.644,-65.466,109.235,41.646,28.874,109.235,3.879635e-07,-34.112
11,-104.992,-113.992,108.039,44.432,38.434,108.039,4.480821e-07,-33.486
12,-54.579,-145.845,106.843,19.720,58.601,106.843,4.211509e-07,-33.756
13,4.112,-156.417,105.647,0.375,57.652,105.647,2.677373e-07,-35.723
14,62.500,-144.261,104.451,-19.613,45.250,104.451,4.427468e-07,-33.538
15,112.163,-111.233,103.255,-45.603,29.608,103.255,5.303217e-07,-32.755
16,146.042,-62.142,102.059,-53.836,21.652,102.059,4.729912e-07,-33.251
17,159.411,-4.010,100.862,-42.905,6.798,100.862,3.087912e-07,-35.103
18,150.482,54.971,99.666,-42.078,-7.809,99.666,5.189057e-07,-32.849
19,120.595,106.601,98.470,-32.193,-33.497,98.470,5.638726e-07,-32.488
20,73.954,143.801,97.274,-17.489,-40.842,97.274,5.221096e-07,-32.822
21,16.996,161.560,96.078,-12.902,-56.372,96.078,3.606706e-07,-34.429
22,-42.535,157.558,94.882,13.191,-38.623,94.882,5.584821e-07,-32.530
23,-96.653,132.426,93.686,38.079,-36.608,93.686,5.470340e-07,-32.620
24,-138.195,89.589,92.490,42.769,-21.025,92.490,5.428424e-07,-32.653
25,-161.749,34.759,91.294,45.665,-3.175,91.294,4.868391e-07,-33.126
26,-164.319,-24.863,90.098,49.419,12.964,90.098,2.208277e-07,-36.559
27,-145.661,-81.553,88.901,46.298,21.076,88.901,5.893095e-07,-32.297
28,-108.254,-128.059,87.705,30.652,28.100,87.705,6.773089e-07,-31.692
29,-56.926,-158.520,86.509,21.997,37.912,86.509,6.756013e-07,-31.703
30,1.806,-169.170,85.313,-5.293,49.347,85.313,4.277562e-07,-33.688
31,60.584,-158.760,84.117,-12.093,41.810,84.117,7.315912e-07,-31.357
32,112.138,-128.666,82.921,-20.402,36.241,82.921,7.761924e-07,-31.100
33,150.177,-82.658,81.725,-35.575,21.559,81.725,7.221914e-07,-31.413
34,170.135,-26.392,80.529,-45.691,1.954,80.529,5.683339e-07,-32.454
