Tx_ID,Pot_dBm_bi,Pot_dBm_mono,ganancia_potencia_dB,delta_xy_cm_bi,delta_xy_cm_mono,mejora_delta_xy_cm,delta_z_cm_bi,delta_z_cm_mono,mejora_delta_z_cm,costo_J_bi,costo_J_mono,mejora_costo_J
1,-38.373,-41.011,2.637,32.8482,18.4528,-14.3954,121.3396,126.6878,5.3483,4.666274,4.781384,0.115110
2,-35.259,-36.940,1.681,25.9651,18.3433,-7.6218,119.9493,126.8018,6.8524,4.416132,4.495779,0.079647
3,-34.327,-35.934,1.607,25.6713,18.2360,-7.4353,119.6010,126.9254,7.3244,4.349014,4.424695,0.075680
4,-34.712,-36.164,1.452,24.3108,18.1307,-6.1801,119.1271,127.0588,7.9318,4.368381,4.440209,0.071827
5,-37.770,-40.717,2.947,33.3892,18.0274,-15.3618,120.0960,127.2022,7.1062,4.624806,4.758293,0.133487
6,-34.920,-36.973,2.053,26.4168,17.9262,-8.4906,118.9233,127.3555,8.4322,4.393563,4.495674,0.102111
7,-34.284,-36.385,2.101,26.5682,17.8269,-8.7413,118.6862,127.5188,8.8326,4.349495,4.453947,0.104452
8,-34.098,-35.702,1.605,23.8349,17.7296,-6.1053,117.9109,127.6923,9.7814,4.321485,4.405630,0.084145
9,-40.556,-44.526,3.970,37.5303,17.6342,-19.8961,118.0121,127.8760,9.8639,4.832829,5.022766,0.189937
10,-34.473,-36.742,2.269,26.0680,17.5407,-8.5274,117.5967,128.0699,10.4732,4.359076,4.477396,0.118320
11,-33.712,-35.822,2.110,25.5471,17.4490,-8.0981,117.1436,128.2741,11.1305,4.302675,4.412538,0.109863
12,-33.411,-35.223,1.811,23.4904,17.3592,-6.1312,116.6311,128.4887,11.8576,4.270102,4.370112,0.100010
13,-36.746,-40.025,3.279,30.6671,17.2713,-13.3959,117.5444,128.7136,11.1692,4.539310,4.705853,0.166543
14,-33.646,-35.951,2.305,24.8655,17.1851,-7.6804,115.9989,128.9490,12.9501,4.293240,4.420216,0.126977
15,-32.676,-34.594,1.918,23.8484,17.1007,-6.7477,115.5707,129.1948,13.6240,4.219414,4.324861,0.105447
16,-33.047,-35.200,2.153,23.6072,17.0180,-6.5891,115.2232,129.4510,14.2278,4.243697,4.366912,0.123214
17,-36.281,-39.915,3.634,31.4895,16.9371,-14.5524,116.2606,129.7177,13.4571,4.508761,4.696610,0.187849
18,-32.559,-34.782,2.223,23.1798,16.8579,-6.3219,114.5369,129.9948,15.4580,4.206321,4.336937,0.130615
19,-32.640,-35.157,2.518,24.7330,16.7803,-7.9527,114.1796,130.2824,16.1029,4.220055,4.362928,0.142874
20,-33.159,-35.938,2.778,24.7293,16.7044,-8.0249,113.8011,130.5805,16.7793,4.255969,4.417242,0.161273
21,-35.584,-39.130,3.546,28.1668,16.6301,-11.5367,114.6434,130.8889,16.2455,4.443615,4.640418,0.196803
22,-32.219,-34.671,2.451,22.6720,16.5574,-6.1146,113.1060,131.2077,18.1017,4.178051,4.328036,0.149985
23,-32.874,-36.537,3.663,26.5720,16.4863,-10.0857,113.1642,131.5369,18.3727,4.244620,4.458425,0.213805
24,-33.205,-36.824,3.618,26.3050,16.4168,-9.8883,112.6895,131.8764,19.1869,4.265956,4.478299,0.212343
25,-33.386,-36.214,2.828,23.2127,16.3488,-6.8639,111.7342,132.2260,20.4918,4.261197,4.435451,0.174254
26,-37.263,-43.120,5.857,41.3235,16.2823,-25.0412,111.3765,132.5859,21.2094,4.607272,4.918646,0.311374
27,-32.437,-36.231,3.794,25.5577,16.2173,-9.3404,111.1473,132.9558,21.8085,4.206625,4.436303,0.229678
28,-32.003,-35.636,3.633,25.2282,16.1538,-9.0744,110.6308,133.3358,22.7050,4.173938,4.394504,0.220566
29,-31.072,-33.882,2.810,21.4599,16.0917,-5.3682,110.6964,133.7256,23.0292,4.087765,4.271568,0.183803
30,-34.662,-39.142,4.480,28.3093,16.0310,-12.2783,110.3590,134.1253,23.7662,4.374757,4.639703,0.264946
31,-30.625,-33.755,3.130,21.7572,15.9718,-5.7854,109.5384,134.5346,24.9963,4.056899,4.262535,0.205636
32,-31.004,-34.213,3.210,23.1919,15.9140,-7.2779,108.5471,134.9536,26.4065,4.090538,4.294529,0.203991
33,-31.579,-35.501,3.922,23.7701,15.8575,-7.9126,108.0371,135.3819,27.3448,4.133425,4.384596,0.251171
34,-33.040,-37.006,3.965,23.9798,15.8024,-8.1774,107.5507,135.8196,28.2689,4.236265,4.489895,0.253630
