Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Pot_W,Pot_dBm,delta_xy_m,delta_z_m,costo_J
1,147.500,0.000,120.000,147.500,0.000,120.000,7.923846e-08,-41.011,0.184528,1.266878,7.101064
2,138.397,52.927,118.924,138.397,52.927,118.924,2.261360e-07,-36.456,0.183542,1.267899,6.645630
3,111.027,99.137,117.847,111.027,99.137,117.847,2.213890e-07,-36.548,0.182573,1.268999,6.654844
4,69.036,132.626,116.771,69.036,132.626,116.771,1.669109e-07,-37.775,0.181621,1.270178,6.777515
5,17.918,149.119,115.694,17.918,149.119,115.694,9.368465e-08,-40.283,0.180685,1.271436,7.028332
6,-35.736,146.570,114.618,-35.736,146.570,114.618,2.131357e-07,-36.713,0.179765,1.272776,6.671344
7,-85.100,125.385,113.541,-85.100,125.385,113.541,1.828558e-07,-37.379,0.178862,1.274196,6.737891
8,-123.974,88.308,112.465,-123.974,88.308,112.465,1.792593e-07,-37.465,0.177975,1.275698,6.746518
9,-147.548,40.034,111.388,-147.548,40.034,111.388,2.105300e-07,-36.767,0.177103,1.277282,6.676686
10,-152.968,-13.417,110.312,-152.968,-13.417,110.312,3.379252e-08,-44.712,0.176247,1.278949,7.471179
11,-139.644,-65.466,109.235,-139.644,-65.466,109.235,2.117330e-07,-36.742,0.175407,1.280699,6.674211
12,-109.273,-109.789,108.159,-109.273,-109.789,108.159,3.227464e-07,-34.911,0.174581,1.282532,6.491139
13,-65.587,-141.073,107.082,-65.587,-141.073,107.082,2.276702e-07,-36.427,0.173770,1.284449,6.642694
14,-13.862,-155.630,106.006,-13.862,-155.630,106.006,1.036334e-07,-39.845,0.172975,1.286451,6.984500
15,39.739,-151.804,104.929,39.739,-151.804,104.929,2.807135e-07,-35.517,0.172194,1.288536,6.551737
16,88.908,-130.118,103.853,88.908,-130.118,103.853,2.043211e-07,-36.897,0.171427,1.290706,6.689687
17,127.934,-93.170,102.776,127.934,-93.170,102.776,1.915959e-07,-37.176,0.170674,1.292960,6.717614
18,152.348,-45.292,101.700,152.348,-45.292,101.700,2.922462e-07,-35.343,0.169936,1.295299,6.534251
19,159.410,7.988,100.623,159.410,7.988,100.623,1.079482e-07,-39.668,0.169211,1.297723,6.966784
20,148.388,60.594,99.547,148.388,60.594,99.547,3.007989e-07,-35.217,0.168500,1.300231,6.521724
21,120.595,106.601,98.470,120.595,106.601,98.470,3.049673e-07,-35.157,0.167803,1.302824,6.515747
22,79.203,140.893,97.394,79.203,140.893,97.394,2.195794e-07,-36.584,0.167119,1.305502,6.658408
23,28.852,159.717,96.317,28.852,159.717,96.317,1.696820e-07,-37.704,0.166448,1.308264,6.770364
24,-24.888,161.063,95.241,-24.888,161.063,95.241,1.859839e-07,-37.305,0.165790,1.311110,6.730525
25,-76.144,144.853,94.164,-76.144,144.853,94.164,2.314338e-07,-36.356,0.165146,1.314040,6.635573
26,-119.385,112.909,93.088,-119.385,112.909,93.088,3.662439e-07,-34.362,0.164513,1.317053,6.436230
27,-150.002,68.717,92.011,-150.002,68.717,92.011,3.236123e-07,-34.900,0.163894,1.320150,6.489975
28,-164.789,17.025,90.935,-164.789,17.025,90.935,1.312288e-07,-38.820,0.163286,1.323329,6.881971
29,-162.244,-36.681,89.858,-162.244,-36.681,89.858,3.042060e-07,-35.168,0.162691,1.326591,6.516832
30,-142.701,-86.772,88.782,-142.701,-86.772,88.782,2.296474e-07,-36.389,0.162109,1.329934,6.638938
31,-108.254,-128.059,87.705,-108.254,-128.059,87.705,2.731332e-07,-35.636,0.161538,1.333358,6.563625
32,-62.509,-156.323,86.629,-62.509,-156.323,86.629,4.081899e-07,-33.891,0.160978,1.336862,6.389138
33,-10.184,-168.723,85.552,-10.184,-168.723,85.552,1.325814e-07,-38.775,0.160431,1.340446,6.877518
34,43.389,-164.062,84.476,43.389,-164.062,84.476,3.906322e-07,-34.082,0.159894,1.344108,6.408232
35,92.817,-142.873,83.399,92.817,-142.873,83.399,2.397188e-07,-36.203,0.159370,1.347848,6.620298
36,133.180,-107.334,82.323,133.180,-107.334,82.323,2.485288e-07,-36.046,0.158856,1.351666,6.604623
37,160.515,-61.018,81.246,160.515,-61.018,81.246,4.554323e-07,-33.416,0.158353,1.355559,6.341576
38,172.183,-8.516,80.170,172.183,-8.516,80.170,1.337227e-07,-38.738,0.157861,1.359527,6.873795
